Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,208.788,-82.804,0.0,top
C2,4.7uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,208.788,-79.248,180.0,top
J1,Input Headers,PinSocket_1x16_P2.54mm_Vertical,101.092,-121.691,90.0,top
J2,CS Inputs,PinSocket_1x02_P2.54mm_Vertical,140.716,-86.3499,-90.0,top
J3,CS Terminal,CONN_1862042,141.7294,-78.272899,180.0,top
J4,SPI Inputs,PinSocket_1x03_P2.54mm_Vertical,81.153,-86.64,-90.0,top
J5,Input Terminal,1862262,100.162,-130.516,0.0,top
J6,Output Terminal,1862262,179.07,-130.516,0.0,top
J7,Ouput Headers,PinSocket_1x16_P2.54mm_Vertical,180.086,-121.691,90.0,top
J8,Power Input,CONN_1862055,199.415401,-78.526899,180.0,top
J9,Left SPI Out,CONN_LS2-105-01-X-D-RA1_SAI,51.689,-93.6884,-90.0,top
J10,Right SPI In,CONN_LS2-105-01-X-D-RA2_SAI,228.09205,-92.6216,90.0,top
J11,SPI Terminal,CONN_1862055,81.615401,-78.272899,180.0,top
J12,Power Input,PinSocket_1x03_P2.54mm_Vertical,198.826,-86.335,-90.0,top
L1,10uH,IND_BOURNS_SRR6038,207.518,-88.646,0.0,top
R1,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.528,-100.9885,90.0,top
R2,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.448,-100.9885,90.0,top
R3,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.368,-100.9904,90.0,top
R4,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145.288,-100.9885,90.0,top
R5,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,181.864,-100.9904,90.0,top
R6,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,176.784,-100.9904,90.0,top
R7,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,171.704,-101.092,90.0,top
R8,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.624,-100.9904,90.0,top
R9,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,203.2,-100.838,90.0,top
